book_a;book_b;count
1573227331;1573225517;5
0345444884;0684853515;5
0679439382;0312278586;5
0312924801;0440235596;5
0618002235;043935806X;5
0441172717;0553287893;5
0590660543;0590112899;5
0385424736;044021145X;5
0441172717;0812550706;5
0061015725;0786868716;5
0399147195;0805036377;5
0140186409;0679429220;5
0451181379;0451153553;5
034539657X;0425132951;5
0446527793;0385504209;5
0380018179;0446605239;5
0679731725;0316666343;5
042518286X;0316666343;5
0671741195;0671004573;5
0425130711;0425115801;5
0156028778;0375727345;5
1573229571;0312195516;5
0786817070;0590353403;5
0345444884;0385199570;5
0451188454;074343627X;5
0671727796;0380002930;5
0671741195;0671673688;5
0440221595;0440213290;5
0671034022;0743237188;5
0399149392;0399148248;5
0671038443;0671026011;5
0743235150;0684853507;5
0060929871;0440180295;5
0399148027;0670894605;5
0743235150;0684853515;5
0671027573;0515128554;5
0385479565;0679734775;5
0345417623;0451524934;5
0425153975;0425124347;5
0425137562;0380718340;5
0552134651;0552131067;5
0425137562;0380718332;5
0553268449;0316666343;5
0871136791;0156027321;5
1573229725;0743418174;5
0441010512;0449212602;5
0451161343;0451156609;5
140003180X;0316666343;5
0316788228;0375727345;5
0684872153;0440213525;5
0671744216;0515124214;5
0451161343;0451169522;5
0671744216;0515126772;5
1558743316;1558744150;5
0836218620;0836218353;5
0446611085;0312195516;5
0375760911;0345445848;5
0399149848;039914840X;5
0679735909;0671003755;5
0399149848;0399148248;5
0671744216;051512317X;5
042516098X;0316693235;5
0671744216;0515120618;5
0061015725;0440241073;5
0451161343;0451163524;5
0316780375;067976402X;5
0871136791;0316569321;5
0425126064;0380718340;5
0380018179;0345370775;5
055356451X;0671793489;5
0836218620;0836220889;5
0671744216;051512219X;5
0451161343;0451167317;5
0446363251;0380002930;5
0441003257;0375725784;5
0312421273;0156027321;5
1400031362;0345361792;5
0312150601;0375726403;5
0743412028;0385484518;5
0345391802;0316666343;5
0679444815;0385504209;5
0399149848;0373218192;5
0671744216;0373483503;5
0345417623;0066214122;5
0553578022;0553579983;5
0553578022;0553582127;5
0553260111;0440214041;5
0679734775;0385722206;5
0670813648;0684853507;5
0061097101;0312278586;5
0743245520;0743454529;5
0156007479;0743418174;5
0345417623;0446672211;5
042511774X;0316666343;5
0871136791;0070212570;5
0374199698;0312278586;5
0425150143;044021145X;5
0441003257;0380789035;5
0451190548;0451169514;5
0871136791;0142001740;5
0671014919;0671793489;5
0425172546;0312924585;5
0345417623;0061009059;5
1400031362;0316776963;5
0679735771;0671027360;5
0670813028;0451156609;5
0515137111;0515121843;5
0425153975;0345386108;5
1400031362;0316666343;5
0679734775;0385474016;5
0316781142;0425162443;5
0679734775;0385479565;5
0871136791;0375726403;5
0553289411;0590353403;5
0441010512;0441003745;5
055356773X;0553572040;5
0871136791;0375706410;5
0385508042;0446612790;5
1573225789;0380730138;5
0425109720;0425180964;5
0060929790;0385504209;5
0553268449;0345438329;5
0449911004;0385722206;5
0380018179;0345337662;5
0679734775;0671027360;5
0553582135;0440222656;5
0451190491;0451160525;5
0425172546;0449219364;5
0688170528;0312305060;5
067164257X;0446605239;5
0385479565;0553572997;5
0393319296;0385720920;5
015100692X;0345361792;5
0446530077;0312278586;5
0767905385;0375727345;5
0802130208;0345361792;5
0399149392;0373218486;5
0399149392;0373218966;5
0452280621;0156027321;5
0802130208;0316666343;5
0064472272;0440215625;5
0689817851;0312278586;5
0156007754;067976402X;5
0446359866;044021145X;5
0446359866;0440221471;5
0446602620;0375726403;5
0060929790;0385722206;5
0552134627;0552140295;5
038531292X;0515136530;5
0552134627;0552142379;5
0451183665;0345370775;5
0399149392;0373218192;5
0446359866;0440214041;5
0451180410;0316666343;5
0446527785;0440226430;5
0060391626;0156027321;5
0679736042;0375705856;5
067164257X;0446608955;5
0441010512;0441001971;5
0553289411;0609610597;5
055356773X;055357258X;5
0312150601;067976402X;5
0380789019;0060987103;5
0385507607;0375727345;5
0345443683;0446672211;5
0385503857;0316666343;5
0743225406;0452282152;5
0671568175;0440200989;5
0316788228;0385504209;5
0679735771;0679723161;5
0441001971;0441010512;5
0316788228;0385492081;5
0767907817;0440241162;5
0451167538;0671039741;5
0451167538;0671039725;5
0380820854;0399148248;5
0380820854;039914840X;5
1400031362;0060987103;5
1400031362;0060987529;5
055356773X;0553560247;5
0767915054;0375726403;5
0316782505;0440241073;5
0671038567;0380718332;5
051512219X;0316666343;5
0060199652;0553277472;5
0767915054;0375727345;5
0399149848;0425148297;5
1558531025;0060987103;5
0380789019;0446310786;5
0316780375;0609804138;5
0743245520;0316603287;5
1573225789;0385722206;5
043936213X;0439136369;5
0743245520;0316666343;5
1558531025;059035342X;5
0671743058;044021145X;5
0425128164;0440220602;5
0385479565;0609804138;5
0671673688;0440213525;5
043936213X;0439139600;5
0553582526;0446612545;5
0679426159;0060987103;5
0609610597;0446532231;5
0380820854;0671003364;5
0060934719;0062502182;5
0679751602;0312966970;5
0451167538;0671041789;5
0425153975;0425158594;5
0553289411;0439064864;5
0375400117;0312195516;5
0060929790;0316666343;5
0671673688;044021145X;5
0449911004;0446672211;5
0380820854;051513628X;5
0425153975;0380710218;5
0345413873;0312980140;5
0385503857;0385504209;5
0441003257;0060987529;5
0061097101;0060987103;5
0446527785;0142001740;5
0312306326;0316666343;5
038082101X;0679751521;5
0553582143;0312966091;5
0671568175;0743460529;5
0345413873;0312983867;5
0446527785;0312195516;5
0553213105;0446672211;5
0345441265;0312195516;5
0446363251;0316666343;5
0440213029;0440235596;5
0380820854;051513287X;5
0670813028;0743211383;5
0446606324;0312195516;5
015100692X;0446670251;5
0060199652;0385484518;5
0425181464;051511779X;5
0609610597;0439136350;5
0609610597;0439064864;5
0060199652;0385722206;5
0060199652;0399146431;5
0679751602;0743418174;5
0441003257;0141301155;5
0670813028;0670868361;5
0375701214;0375727345;5
0140119906;0312195516;5
051512219X;014028009X;5
0441005241;0425181685;5
0345452550;0316603287;5
0679735771;0440206154;5
0553213105;0440211727;5
0060199652;0060175400;5
0060929790;0316769487;5
0312306326;0312966091;5
0679441018;0679454470;5
0385421982;0316693006;5
0316782505;0743418174;5
0515120006;0515136379;5
0836218353;0836218620;5
0553213105;0446310786;5
0316780812;0345439104;5
0515120006;0515133973;5
015100692X;0316666343;5
0767905385;0767900383;5
0425172546;0425154092;5
0670032379;0743418174;5
0670032379;067976402X;5
0679751602;0375727345;5
0385421982;0316693200;5
0842329277;084233226X;5
0446363251;0345370775;5
0425181464;0425191583;5
015100692X;0142002267;5
0515120006;0515122734;5
0425181464;0425148297;5
0515120006;0515127833;5
0425181464;042518630X;5
0671568175;0671793489;5
0670032379;068484477X;5
0452278902;0670835382;5
0425181464;0425189031;5
0316780812;0316666343;5
0380820854;0515126772;5
0425136981;0425118703;5
067164257X;038531292X;5
0802130208;0446391301;5
0316780812;0375412530;5
0767915054;0743418174;5
0836218353;0836218787;5
0743245520;051513287X;5
0425136981;0425107469;5
0743245520;051513628X;5
0671568175;0671004549;5
0451183665;0440213525;5
0553580272;0441172717;5
0670813648;0399133143;5
0767905385;1400034779;5
0060199652;0312278586;5
0140119906;0375726403;5
0425137562;0316666343;5
0312974256;0312195516;5
0316788228;0142001740;5
0743245520;0399148248;5
0743245520;039914840X;5
0552140295;0552142379;5
0140119906;0060928336;5
0671039725;0743211383;5
0767905385;0452282195;5
0312150601;0312195516;5
0312974256;0156027321;5
0345397819;0345334531;5
0312974256;0312980159;5
0743235150;0670855030;5
0553279378;0684872153;5
0156007754;0385504209;5
0385421982;0440213525;5
0399149848;0316666343;5
0671729411;0671534718;5
0671743058;0451172817;5
0441003257;0345361792;5
0743412028;0312305060;5
044922046X;0553574671;5
038531292X;067164257X;5
0671014919;0671888587;5
0609610597;0375727345;5
0451409973;0312195516;5
0553578685;0553576798;5
0553574671;044922046X;5
055356451X;0553582526;5
0446613266;0316666343;5
0671014919;0671867156;5
042516098X;0440214041;5
0553260111;0440213525;5
0374199698;0375726403;5
0385420161;0312195516;5
0670813648;0670835382;5
0553213164;059035342X;5
0552140295;0552147680;5
0316788228;0312195516;5
0553277537;0345313860;5
0060934719;0380789035;5
0670813648;0670844527;5
0679405283;0345313860;5
0385424736;0060928336;5
034540288X;080410526X;5
0670813648;0670855030;5
0802130208;0385722206;5
140003180X;0060934417;5
0312150601;0316666343;5
0670813648;0670858692;5
0399141146;0312195516;5
0553578685;0553578693;5
0609610597;043935806X;5
0451409973;0375502238;5
0385482388;0804114986;5
0679444815;0066214122;5
0425181464;051513287X;5
0345413873;0345413903;5
0440207622;0671670689;5
0425181464;0515131229;5
0553801376;0385504209;5
042516098X;0316666343;5
0670813028;0670851086;5
0670813028;0670858692;5
042516098X;0425158616;5
0446527793;0786868716;5
0609610597;0439139597;5
0671729462;0316666343;5
0802130208;0553277472;5
0553213105;043935806X;5
0446359866;0345391055;5
0060934719;0385504209;5
0441172695;0451156609;5
0670813648;0525941908;5
0552140295;0552134627;5
0425181464;0316666343;5
0312974256;0316666343;5
0449912558;0394820371;5
0743412028;014025448X;5
0316780812;0446531332;5
0393319296;0590353403;5
0671729411;0671759345;5
0345391802;0060987103;5
0552140295;0552131059;5
1573226521;0316666343;5
0393319296;059035342X;5
0552134627;0552140287;5
0140244824;0385720106;5
1558743316;0446310786;5
034540288X;0671042262;5
0425170349;0446601241;5
0552147680;0552140295;5
0679441018;0375401598;5
0064472272;0060928336;5
0446527793;0446605239;5
0451132378;0451167317;5
0374129983;0446532231;5
0671027387;0786868716;5
034541389X;0446610038;5
0842332340;0842329218;5
0842332340;0842329250;5
0446527793;0446532452;5
0842332340;084233226X;5
0064472272;0064407667;5
0670030643;0316666343;5
0316780375;0375412824;5
042513699X;0385498802;5
0671027344;0743418174;5
0553580221;0446610038;5
0451132378;0451186362;5
0060930187;0316666343;5
0671670689;067164257X;5
0836217691;0836218051;5
0345416260;0316776963;5
0451132378;0451184963;5
0451132378;0451180232;5
0316782262;0312278586;5
0671039725;0451177096;5
0425109720;042510107X;5
0312422156;0385484518;5
0446365386;0345361792;5
0385720955;0060934417;5
0385720955;0060930535;5
0553279378;0440219078;5
0449912558;0316666343;5
0451132378;0451176464;5
0451132378;0451173317;5
0440122090;0440221595;5
0679742298;0156027321;5
0451161343;0671039741;5
0060391626;0425167313;5
0440122090;0440235596;5
0140179836;0316666343;5
0380018179;0312976275;5
067697175X;0446532231;5
0553275976;0064407667;5
0345314255;0441172717;5
0671670689;0671729462;5
0312978383;0385722206;5
0385720920;0393319296;5
0441003257;059035342X;5
0425191583;0515136530;5
0425109720;0425122123;5
140003180X;0671027360;5
0441009239;0316666343;5
0684865742;0684801523;5
0140244824;0345439104;5
0060248025;0439136350;5
0345444884;0451180232;5
0312422156;0316096199;5
0671729462;0671695169;5
0671743058;0312195516;5
0441003257;0671027360;5
0671729462;0671670689;5
0142004235;0312195516;5
034541389X;0446605484;5
0671026011;0743437802;5
0671039725;0451184963;5
0446527793;0446610399;5
0767912233;0385504209;5
0312971125;043935806X;5
0671729462;0671534718;5
0140143505;0385335482;5
0316781142;0385504209;5
0679751602;0060987103;5
0552147680;0552134619;5
067164257X;0671670689;5
0066214122;0345417623;5
0553580272;0812550706;5
0552134619;0552147680;5
0552140287;0552142379;5
0871136791;068484477X;5
038531258X;0688177751;5
0399148027;0375727345;5
0399148639;0743206045;5
0679441018;0345351525;5
0345459202;044021145X;5
0836218787;0836218353;5
0399148639;0743206029;5
0066214122;0345444884;5
0061015725;0671027360;5
0066214122;0380710218;5
0061015725;0671027387;5
0552134619;0552134627;5
0345413873;055357227X;5
0553287893;0441172717;5
034541389X;0452269571;5
0140177396;0684801523;5
0316777730;043935806X;5
0671758896;0440234743;5
0441172717;0441102670;5
0553289411;0345337662;5
0553582135;0446610038;5
0552140287;0552134627;5
0441172695;0345313151;5
0312978383;0671510053;5
0786817070;0142001740;5
006019491X;0385504209;5
0425153975;0451156609;5
0316780375;0345313860;5
0679751602;0440226430;5
0425109720;0425083837;5
0671039725;0451169522;5
0374129983;044021145X;5
0671026011;0671038443;5
0671039725;0451169530;5
0440122090;0440215625;5
0345402871;0451142934;5
0440122090;0440213290;5
0671039725;0451167538;5
0553582526;055356451X;5
0061015725;059035342X;5
0440221595;1558744150;5
0440223202;0440213290;5
0399149155;0671027360;5
0440122090;0440207770;5
0446670111;0786868716;5
0345335465;0345313860;5
0060256656;0060248025;5
0440122090;0440211263;5
055357230X;0061009059;5
0440221595;0786868716;5
0425118703;042513525X;5
0836218787;0836220889;5
0671758896;044021145X;5
0425118703;0425136981;5
0679446486;0345380371;5
0345396936;0345353145;5
0441172717;044021145X;5
1558531025;039480001X;5
0156028778;0786868716;5
0345396936;0345351525;5
0441172717;0440206154;5
0375703764;0345337662;5
0440223202;0440224594;5
0345339495;034529873X;5
0446606383;0380718340;5
0767905385;0312195516;5
0374129983;0743418174;5
0842329269;0842332278;5
0312171838;0312278586;5
0345391802;0553280341;5
0316788228;0446606812;5
0553260111;0385504209;5
039592720X;0375726403;5
0345402871;0345391055;5
0446613266;0446609323;5
067164257X;0515102636;5
0446530891;0399150897;5
0441008534;0441304834;5
0670032379;0385484518;5
0441172717;0345333926;5
0553580221;0451177096;5
067100042X;0312966091;5
038531292X;0316666343;5
0671038567;0425163407;5
0345404319;0345370775;5
0374129983;068484477X;5
0064472272;0385335482;5
0553275976;0060392452;5
0553582135;0786868716;5
0446613266;0446609404;5
0060391626;0345361792;5
0446530077;0316666343;5
0060391626;0316569321;5
0553258001;080410753X;5
0553578022;0440241073;5
038531292X;051511992X;5
1558531025;0060502258;5
055356773X;0553574671;5
0553578308;0553574639;5
0375703063;0142000205;5
0451456521;0312195516;5
0552134627;0552134619;5
0553578308;0553560247;5
0552137030;0060938455;5
0689817851;0316666343;5
0446530077;0316096199;5
0446613266;0446611212;5
0688170528;0375726403;5
0802139256;0671001795;5
0670813028;0385199570;5
0553279378;0786868716;5
0425181685;0345423402;5
1573227331;0060987103;5
0345348036;0345370775;5
0345339495;0345384911;5
0670031909;0316666343;5
0374129983;0971880107;5
0802130208;0156027321;5
0802130208;0060392452;5
0425137562;0425141233;5
0425181685;0441005241;5
1573225517;1573227331;5
0385482388;0553280341;5
0446611085;0446605239;5
0860074382;0877017883;5
0553263226;0553287737;5
1880418568;0451156609;5
0345413873;0425180638;5
0345402871;044021145X;5
0767905202;0446672211;5
0679735909;0064400557;5
0688170528;0670894605;5
0142004235;0375726403;5
0440224594;0440223202;5
0316780375;0385720106;5
0802139256;0060987529;5
0515121495;0446610038;5
0142004235;0312305060;5
0679774025;0316666343;5
0399149155;0399147195;5
0446613266;0446605484;5
0802139256;0142001740;5
0399149325;0316168688;5
0553278223;0316769487;5
0375401601;034538475X;5
0375401601;0345384466;5
0312422156;0140293248;5
0440236053;0312980140;5
0679735771;0312195516;5
0515135062;0425189031;5
0064472272;0375706771;5
0440236053;0312976275;5
042513699X;0446672211;5
0671023616;0440213525;5
0060248025;0060256656;5
0345413873;0425163407;5
038542017X;067976402X;5
0425153975;044021145X;5
0671743058;0375706771;5
0771060548;0312195516;5
0345391802;0618002227;5
0689817851;0385504209;5
0688170528;0446672211;5
0451180410;0380731851;5
0670032379;0375727345;5
0312978383;0312924801;5
0375400117;0385265700;5
0679735771;0142001740;5
0671039741;0451167538;5
1551665301;0316666343;5
0771060548;0375707972;5
0345314255;059035342X;5
0671039741;0451161343;5
0743437802;0671026011;5
0312978383;0312195516;5
0802139256;0375706771;5
067164257X;0515136379;5
0553268449;0385722206;5
0553272535;0439136369;5
0671011367;0380718340;5
0380789035;0439136350;5
0373218192;0373244487;5
0805036377;0805019375;5
0385492081;0312195516;5
0373218192;0373218397;5
0553272535;0385504209;5
044651862X;0446672211;5
0446322180;0345361792;5
0671042262;0425182878;5
0440414806;0439136350;5
0345368932;0345384911;5
0553279378;0316769487;5
0380817691;0345413881;5
0452264464;0440498058;5
0312274920;0385722206;5
0441790348;0061000027;5
0553250531;0380730138;5
0440414806;0449005615;5
0385510438;0385511612;5
0452284449;0385722206;5
0380817691;0316666343;5
0451162072;067102423X;5
0451151259;0440206154;5
0805036377;0553271636;5
0446607193;0440226430;5
0451151259;0451176464;5
0316153915;0316666343;5
0375725784;0316666343;5
044651862X;0679745203;5
0671024248;0060928336;5
0375725784;0316776963;5
0451188454;0375726403;5
0375725784;0316601950;5
0451151259;0451160525;5
0425115801;0451156609;5
0670892963;014028009X;5
0452284449;067976402X;5
0312274920;0140298479;5
0425179672;0671003755;5
0786889020;0060392452;5
0099771519;0142001430;5
0373250118;0316666343;5
0345369947;0345384466;5
0671024248;0060987103;5
0062502182;0671510053;5
0786889020;0316666343;5
0375413634;0312278586;5
044651862X;0670844527;5
0515133302;0440236673;5
051512608X;0515136379;5
0064405176;0440219078;5
0515133302;0440241073;5
0671011367;0425147622;5
0425121259;0553580221;5
0786889020;0312195516;5
0425179672;067976402X;5
051512608X;0515128546;5
1558744630;043935806X;5
051512608X;0515128554;5
0671701231;0671004573;5
0060008032;014029628X;5
0451151259;0451142934;5
0446322180;0316666343;5
0590112899;0590660543;5
051512608X;051513287X;5
0451188454;0375727345;5
044651862X;0142001740;5
0060922532;0316666343;5
044661193X;0446604666;5
0671042262;0380731851;5
0670892963;0316096199;5
0451151259;0345370775;5
0385730586;0142001740;5
0140440046;0671617028;5
0394820371;0142001740;5
0373250126;0385335881;5
0380817691;0446610038;5
0385333412;014028009X;5
0805019375;0553280368;5
0805019375;0553271636;5
0380817691;0446611212;5
044651862X;0345361792;5
0385510438;0316603287;5
0553250531;0385722206;5
0451151259;0345353145;5
0394820371;0312966091;5
0743206029;0385472951;5
0060977493;0684801523;5
0385730586;0316096199;5
0394820371;0312195516;5
0385490992;0446527017;5
0425158594;0316666343;5
0743206029;0399148639;5
0373250126;0452282152;5
0440201926;0440111811;5
0060977493;0804106304;5
0375412530;0316780812;5
0140067477;059035342X;5
0385730586;0060915544;5
0061000027;0441790348;5
0553299506;0553568701;5
0452284449;0142001430;5
044651862X;0385484518;5
0312243022;0743418174;5
0805019375;0805036377;5
0062502182;0452282152;5
0140440046;0316666343;5
0140440046;0316769487;5
0805036377;0399147195;5
0425166619;0451177096;5
0375412530;0345438329;5
055357230X;0440241073;5
0452264464;044021145X;5
0312243022;067976402X;5
0618002219;0345337662;5
0618002227;0064471047;5
044651862X;0375706771;5
0385730586;0060987103;5
0394820371;014029628X;5
0425121259;0743460529;5
0449003795;0449221482;5
0452284449;0060915544;5
0553571885;0553579606;5
0449003795;0449219461;5
0679459626;0316693235;5
0316666009;0375504397;5
0425144429;0440220602;5
0449003795;0446610038;5
0449003795;0446612545;5
0425144429;044021145X;5
0743439740;0440220602;5
0449003795;0449223604;5
006440188X;0553296981;5
0140067477;0440219078;5
0440180295;0345361792;5
0399146253;0385504209;5
0805059555;0553279556;5
0451205421;0316666343;5
0553579606;0440225701;5
0553279378;0312291639;5
0671042262;0446612790;5
0553569910;0515122491;5
0446611867;0375727345;5
0671042262;0446612545;5
0373244487;0515122734;5
0373244487;0515126772;5
0670865796;0060934417;5
0743439740;0380710218;5
0380807343;0380789035;5
0743206029;0684835959;5
0671027387;0061015725;5
0671014196;0842329129;5
0670865796;0316769487;5
0316666009;0399145087;5
0440180295;0316769487;5
0743206029;0684810395;5
0671027581;0671027573;5
0446532452;0446527793;5
0425083837;0425116840;5
0671867091;0671888587;5
0671867091;0671867172;5
014038572X;0345370775;5
0385722435;067976402X;5
0425121259;0425142485;5
0446611867;0385504209;5
0373244487;0425189031;5
0316168688;0375412530;5
0894803204;014028009X;5
0345409671;0451173317;5
0805062971;0140067477;5
006440188X;043935806X;5
0451188454;0345413881;5
0385512104;0316096199;5
0671042262;0446610038;5
0894803204;0316666343;5
006000438X;0312195516;5
0316168688;0385722206;5
0316168688;0399149325;5
0553579606;0446601241;5
0743486226;0385504209;5
0060921145;0316666343;5
0425179672;0425167313;5
0316168688;0142000205;5
0446604666;0375727345;5
0385335830;0385335881;5
0671028367;0446612790;5
0553582747;0553580221;5
0316168688;0312195516;5
0553582747;0553579754;5
0553277472;0316666343;5
0670865796;044651652X;5
0425083837;0425109720;5
0316666009;0316693200;5
0316666009;0316693235;5
0316666009;0316693251;5
0425101452;0425128164;5
0671024248;0440206154;5
0452264464;059035342X;5
0671867091;0671004549;5
0553571885;0446610038;5
0446519138;0385484518;5
0373244487;0515136530;5
0373244487;0553278592;5
0140386335;0440206154;5
0425121259;0451177096;5
0451151259;067102423X;5
0805036504;0553280341;5
0805036504;0553279912;5
0446525537;059035342X;5
0805036504;0553279556;5
0553571885;0553561618;5
0425121259;0451142934;5
0425121259;0451156609;5
0380978415;1400034779;5
0805036504;0590353403;5
0446532452;0446611867;5
0440200989;0671568175;5
0440200989;0671793489;5
006000438X;0743418174;5
0440414806;0061009059;5
0425143325;0440206154;5
0440180295;0060929871;5
0440414806;0064407667;5
0805036504;0449219364;5
0553579606;0380718340;5
067101420X;0312265867;5
0399146431;0060199652;5
0553272535;0446532231;5
0060921145;0671003755;5
0671042262;0440241073;5
0671867091;0440219078;5
006000438X;0679734775;5
0671867091;0440214041;5
0373218192;0399149848;5
0373218192;0399149392;5
0747538484;0747546290;5
0316154059;0399150897;5
0316154059;0399148639;5
0446519138;0060976845;5
0671042262;0446606189;5
0385510438;0671027360;5
0515102652;0515087122;5
0671880314;0156027321;5
0515102652;0515095826;5
0446519138;0070212570;5
0446519138;0060928336;5
0553574671;055356773X;5
006000438X;0452269571;5
0373218192;042518630X;5
0552142379;0552140287;5
0316154059;0312265867;5
0316666009;0743206029;5
0553574671;0553574639;5
0670892963;0060392452;5
0747546290;0747538484;5
0385335830;0767905180;5
0385474016;0345370775;5
0062502182;0805063897;5
0380731851;0312305060;5
0345366239;0385504209;5
0375500510;0140293248;5
0141000198;0060502258;5
0552142379;0552134627;5
0312243022;0060928336;5
0670865796;0316601950;5
0380727501;0345337662;5
0552142379;0552140295;5
0060922532;0452269571;5
0425178765;0449003787;5
014100018X;080410526X;5
0345366239;044021145X;5
0552142379;0552145424;5
0743437640;0446606189;5
0316690619;0385472951;5
0670892963;0449910571;5
0786868619;0316096199;5
0425147584;0425116840;5
0312243022;0060502258;5
0380978415;0142001740;5
0425150984;0515128554;5
0671004573;0671888587;5
0141000198;0312990456;5
0141000198;0316096199;5
0141000198;0316666343;5
0425150984;0515128546;5
0380731851;0316666343;5
0141000198;0345361792;5
0316666009;0743418174;5
0399146431;0590353403;5
0552142379;0552131059;5
0552142379;0552128481;5
044022103X;0452282152;5
0385474016;0449212602;5
0553280589;067976402X;5
0446516538;0316666343;5
0425150984;0515132020;5
0312995423;0440234743;5
0140067779;0312305060;5
0743437640;0671003755;5
038549081X;0385720955;5
0062502182;0060934719;5
0345424719;0060977493;5
0553569031;0380718332;5
0743203631;0786868716;5
039914840X;0380820854;5
0679744398;044023722X;5
055357230X;0425182908;5
0743437640;067101420X;5
038533334X;0312195516;5
0373218036;051513628X;5
0399145087;0316666009;5
0380978415;0380728133;5
0425105334;0452279178;5
0380818973;0140293248;5
0385730586;1400031354;5
0060085452;0385335482;5
038533334X;0316769487;5
0553278746;0345342968;5
044022103X;0446364193;5
044022103X;0446672211;5
0670851086;0670855030;5
0316690619;0345337662;5
0060922532;0449907481;5
0452264464;0156027321;5
0316690619;0316693324;5
0385336179;0142001740;5
0425132951;034539657X;5
0385336179;0140298479;5
0553802488;0316603287;5
0804117683;0316666343;5
0380731851;0060928336;5
0743437640;0515136379;5
0425105334;0670868361;5
0316690619;0316693200;5
0316690619;0316693251;5
0446611808;0446531332;5
0312201656;067976402X;5
0451166582;0451163524;5
0425142485;042513525X;5
039914840X;0373483503;5
0385498802;0060934417;5
074343627X;067976402X;5
0316693006;0316602906;5
0425115801;042513525X;5
0446608890;0385504209;5
0743203631;0446672211;5
0671693816;044021145X;5
0425174271;0316666343;5
0394820371;0439064864;5
0425115801;0425132951;5
0394820371;0439136350;5
0451166582;0451170385;5
0451166582;0451172817;5
0425115801;0425130711;5
0385722435;0385505833;5
0425142485;0425121259;5
0425158594;0425153975;5
0670892963;0609804138;5
074343627X;0671042858;5
0670892963;059035342X;5
0399146431;0684874350;5
0316690619;0671693816;5
0743437640;0316666343;5
0670892963;0590353403;5
0671880314;0684874350;5
0385336179;038079487X;5
0440487617;0553296981;5
0452283205;1400034779;5
0743437640;0312983867;5
0385324057;0316666343;5
0553285920;0440211727;5
0385509456;0375727345;5
055357230X;0425163407;5
0345384911;0345339495;5
0345384911;0345368932;5
0385474016;0553280341;5
0425119653;0440225701;5
0451162072;0451161351;5
0449910571;0375412530;5
0439404371;0316666343;5
0451162072;0451156609;5
0451162072;0451160525;5
0786889608;0440241073;5
0425150984;051511779X;5
0446611808;0446611212;5
0553569031;0425151867;5
0060977493;0345424719;5
0060922532;0385479565;5
0743206029;0316693200;5
0062502182;0385484518;5
0451170385;0425124347;5
0385474016;0440226430;5
0425119653;0743418174;5
0553569031;0425154092;5
0380730847;0553279556;5
0553569031;0425163407;5
0671864173;0671617028;5
0743206029;0316666009;5
039914840X;0399149848;5
0553285920;0345413881;5
0060977493;0316601950;5
034536676X;0446672211;5
0671693816;0670844527;5
0451170385;044021145X;5
0451170385;0440211727;5
080411868X;0446672211;5
0312274920;1400031354;5
0425105334;0375504397;5
0671880314;0446672211;5
034536676X;044021145X;5
0425132951;042513525X;5
080411868X;0440211727;5
0385729332;0385335881;5
0671042262;034540288X;5
0449910571;0060987561;5
0743437802;0446610038;5
055357230X;0440221471;5
0312274920;0553280341;5
0446604658;0312966970;5
0394820371;0316666343;5
0385490992;0385497466;5
080411935X;0060928336;5
0385474016;0439064872;5
0552145424;0552131075;5
0553581554;0316666343;5
067101420X;042518630X;5
0385512104;038572179X;5
0671701231;0671758896;5
0552145424;0552142379;5
038533334X;067976402X;5
0446604658;0061009059;5
034536676X;0671021001;5
0385474016;0440219078;5
0451191145;0316769487;5
0425158594;0345386108;5
0385498721;0380813815;5
0525947299;0786868716;5
0452283442;1558744150;5
0375756981;0609804138;5
0452264464;0385484518;5
0671880314;0446365386;5
0618002219;0312195516;5
044900371X;0452282152;5
0385509510;0060976845;5
0553582127;0553578022;5
052594527X;0375727345;5
0345424719;0446310786;5
0399146431;038550926X;5
0425115801;0440220602;5
0060085452;0316666343;5
014100018X;0385335482;5
0425174271;0425132048;5
038533334X;0446672211;5
0399145087;0385472951;5
051510566X;0515093203;5
051510566X;0515095826;5
0887307876;0385504209;5
0316089699;0316666343;5
0425142485;0553580221;5
0385730586;0786868716;5
0345424719;0156027321;5
0312995423;0767902521;5
0553582127;0553582143;5
0553380095;0425162443;5
0786868619;0375727345;5
0786868619;0385265700;5
0553272535;0060987103;5
0553572040;014028009X;5
034536676X;0394223802;5
014100018X;0312278586;5
0425132951;0425115801;5
0425132951;0425107469;5
0425121631;0425163385;5
0553573616;0316666343;5
080411868X;0060976845;5
080411868X;0345353145;5
0425121631;0425163407;5
0425121631;0425168298;5
0525947647;0312195516;5
0060085452;0060096195;5
0446322180;0449212602;5
0399145087;0399143947;5
0515135739;0515130966;5
0812548051;0812551486;5
080411868X;0316601950;5
0671042262;0345413881;5
0399145087;0425154092;5
0316678104;0385504209;5
0425147517;034539657X;5
0743457358;0451172817;5
0345435168;0142001740;5
0440219078;0140067477;5
0451203771;0440223202;5
0743457358;0451156609;5
0553561618;0553571885;5
0679454489;0375401598;5
0451203771;0440235596;5
0373218966;0373218036;5
0425184943;0312291639;5
0743460529;0440213525;5
0451197747;0446672211;5
0440241162;042518630X;5
0743460529;0425121259;5
0670880728;0345435168;5
0811811409;0877017883;5
0345384350;0451176464;5
0345435168;0312305060;5
1558745718;0971880107;5
0743211375;0451156609;5
0375412824;0786885688;5
034540761X;0385504209;5
0440219078;0064405176;5
0515132187;059035342X;5
0515090506;0515095826;5
